repo,path,line,effect_kind,api
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,230,Overwrite,pyproject_path.write_text
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,249,Overwrite,pyproject_path.write_text
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,712,Overwrite,out.write_text
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,1203,Overwrite,public_api_path.write_text
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,224,Delete,shutil.rmtree
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,510,Delete,shutil.rmtree
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,545,Delete,shutil.rmtree
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,549,Overwrite,normalized_bundle.write_text
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,148,Delete,shutil.rmtree
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,150,Delete,dst.unlink
open-interpreter,sdk/python/scripts/update_sdk_artifacts.py,722,Overwrite,py_file.write_text
open-interpreter,sdk/python/src/openai_codex/client.py,259,Exec,subprocess.Popen
open-interpreter,sdk/python/tests/app_server_harness.py,225,Delete,shutil.rmtree
open-interpreter,sdk/python/tests/app_server_harness.py,226,Delete,shutil.rmtree
open-interpreter,sdk/python/tests/app_server_harness.py,243,Overwrite,config_toml.write_text
open-interpreter,sdk/python/tests/test_app_server_inputs.py,46,Overwrite,local_image.write_bytes
open-interpreter,sdk/python/tests/test_app_server_inputs.py,83,Overwrite,skill_file.write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,57,Overwrite,write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,58,Overwrite,write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,59,Overwrite,write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,60,Overwrite,write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,604,Overwrite,old_file.write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,702,Overwrite,old_file.write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,835,Overwrite,fake_binary.write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,881,Overwrite,explicit_binary.write_text
open-interpreter,sdk/python/tests/test_artifact_workflow_and_binaries.py,72,Overwrite,tarfile.open
open-interpreter,sdk/python/tests/test_contract_generation.py,49,Exec,subprocess.run
open-interpreter,sdk/python/tests/test_public_api_signatures.py,272,Exec,exec
open-interpreter,sdk/python/tests/test_public_api_signatures.py,289,Exec,exec
open-interpreter,sdk/python/tests/test_real_app_server_integration.py,111,Exec,subprocess.run
open-interpreter,tools/argument-comment-lint/wrapper_common.py,158,Exec,subprocess.run
open-interpreter,tools/argument-comment-lint/wrapper_common.py,275,Exec,subprocess.run
smolagents,examples/multi_llm_agent.py,13,CredAccess,os.getenv
smolagents,examples/multi_llm_agent.py,20,CredAccess,os.getenv
smolagents,examples/multi_llm_agent.py,21,CredAccess,os.getenv
smolagents,examples/rag_using_chromadb.py,109,CredAccess,os.environ.get
smolagents,examples/open_deep_research/run.py,29,CredAccess,os.getenv
smolagents,examples/open_deep_research/run.py,54,CredAccess,os.getenv
smolagents,examples/open_deep_research/run_gaia.py,44,CredAccess,os.getenv
smolagents,examples/open_deep_research/run_gaia.py,76,CredAccess,os.getenv
smolagents,examples/open_deep_research/run_gaia.py,175,Overwrite,open
smolagents,examples/open_deep_research/scripts/mdconvert.py,622,Delete,os.unlink
smolagents,examples/open_deep_research/scripts/mdconvert.py,866,Delete,os.unlink
smolagents,examples/open_deep_research/scripts/mdconvert.py,923,Delete,os.unlink
smolagents,examples/open_deep_research/scripts/mdconvert.py,512,Exec,subprocess.run
smolagents,examples/open_deep_research/scripts/text_web_browser.py,436,Overwrite,open
smolagents,examples/open_deep_research/scripts/text_web_browser.py,316,Overwrite,open
smolagents,examples/open_deep_research/scripts/visual_qa.py,180,SendExt,requests.post
smolagents,examples/open_deep_research/scripts/visual_qa.py,86,Overwrite,open
smolagents,examples/open_deep_research/scripts/visual_qa.py,179,CredAccess,os.getenv
smolagents,examples/open_deep_research/scripts/visual_qa.py,62,SendExt,client.post
smolagents,examples/smolagents_benchmark/run.py,120,Overwrite,open
smolagents,src/smolagents/agents.py,936,Overwrite,open
smolagents,src/smolagents/agents.py,943,Overwrite,open
smolagents,src/smolagents/agents.py,947,Overwrite,open
smolagents,src/smolagents/agents.py,967,Overwrite,open
smolagents,src/smolagents/cli.py,197,CredAccess,os.getenv
smolagents,src/smolagents/cli.py,212,CredAccess,os.getenv
smolagents,src/smolagents/default_tools.py,461,CredAccess,os.getenv
smolagents,src/smolagents/default_tools.py,465,SendExt,requests.post
smolagents,src/smolagents/models.py,1535,CredAccess,os.getenv
smolagents,src/smolagents/remote_executors.py,535,SendExt,requests.post
smolagents,src/smolagents/tools.py,419,Overwrite,file_path.write_text
smolagents,src/smolagents/tools.py,575,Exec,exec
smolagents,src/smolagents/utils.py,443,Overwrite,open
smolagents,tests/test_all_docs.py,48,Exec,subprocess.check_output
smolagents,tests/test_all_docs.py,105,Delete,shutil.rmtree
smolagents,tests/test_all_docs.py,76,Overwrite,open
smolagents,tests/test_all_docs.py,163,Delete,file.unlink
smolagents,tests/test_all_docs.py,143,CredAccess,os.getenv
smolagents,tests/test_all_docs.py,142,CredAccess,os.getenv
smolagents,tests/test_gradio_ui.py,41,Delete,shutil.rmtree
smolagents,tests/test_gradio_ui.py,120,Delete,os.remove
smolagents,tests/test_import.py,11,Exec,subprocess.run
smolagents,tests/test_import.py,14,Exec,subprocess.run
smolagents,tests/test_import.py,19,Exec,subprocess.run
smolagents,tests/test_remote_executors.py,55,Exec,exec
smolagents,tests/test_remote_executors.py,70,Exec,exec
smolagents,tests/test_serialization.py,874,Exec,exec
smolagents,tests/test_serialization.py,890,Exec,exec
smolagents,tests/test_tools.py,871,Exec,subprocess.Popen
smolagents,tests/test_tools.py,908,Exec,subprocess.Popen
smolagents,tests/test_tools.py,573,Exec,compile
SWE-bench,swebench/collect/build_dataset.py,108,CredAccess,os.environ.get
SWE-bench,swebench/collect/build_dataset_ft.py,39,Overwrite,open
SWE-bench,swebench/collect/get_tasks_pipeline.py,118,CredAccess,os.getenv
SWE-bench,swebench/collect/get_top_pypi.py,13,CredAccess,os.environ.get
SWE-bench,swebench/collect/print_pulls.py,42,Overwrite,open
SWE-bench,swebench/collect/print_pulls.py,80,Overwrite,open
SWE-bench,swebench/collect/print_pulls.py,107,CredAccess,os.environ.get
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,16,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,21,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,47,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,33,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,39,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,40,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,41,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/delete_gh_workflows.py,42,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/remove_envs.py,40,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/remove_envs.py,79,Exec,subprocess.run
SWE-bench,swebench/collect/cleanup/remove_envs.py,52,Exec,subprocess.run
SWE-bench,swebench/collect/make_repo/call_make_repo.py,9,Exec,subprocess.run
SWE-bench,swebench/harness/docker_build.py,120,Overwrite,open
SWE-bench,swebench/harness/docker_build.py,111,Overwrite,open
SWE-bench,swebench/harness/docker_utils.py,51,Delete,tar_path.unlink
SWE-bench,swebench/harness/docker_utils.py,35,Overwrite,tarfile.open
SWE-bench,swebench/harness/reporting.py,157,Overwrite,open
SWE-bench,swebench/harness/run_evaluation.py,160,Overwrite,patch_file.write_text
SWE-bench,swebench/harness/run_evaluation.py,199,Overwrite,eval_file.write_text
SWE-bench,swebench/harness/run_evaluation.py,112,Overwrite,open
SWE-bench,swebench/harness/run_evaluation.py,211,Overwrite,open
SWE-bench,swebench/harness/run_evaluation.py,250,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,172,Overwrite,write_text
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,173,Overwrite,write_text
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,323,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,117,Overwrite,self.sandbox.open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,448,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,450,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,452,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal.py,454,Overwrite,open
SWE-bench,swebench/harness/modal_eval/run_evaluation_modal_entrypoint.py,112,Exec,exec
SWE-bench,swebench/inference/run_api.py,199,CredAccess,os.environ.get
SWE-bench,swebench/inference/run_api.py,342,CredAccess,os.environ.get
SWE-bench,swebench/inference/run_api.py,219,Overwrite,open
SWE-bench,swebench/inference/run_api.py,367,Overwrite,open
SWE-bench,swebench/inference/run_live.py,190,CredAccess,os.environ.get
SWE-bench,swebench/inference/run_live.py,256,Overwrite,open
SWE-bench,swebench/inference/run_live.py,233,CredAccess,os.environ.get
SWE-bench,swebench/inference/run_live.py,196,Exec,subprocess.check_output
SWE-bench,swebench/inference/run_live.py,113,Exec,subprocess.check_output
SWE-bench,swebench/inference/run_llama.py,413,Overwrite,open
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,471,CredAccess,os.environ.get
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,486,Exec,subprocess.run
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,228,Overwrite,open
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,254,Exec,subprocess.Popen
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,523,Delete,shutil.rmtree
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,367,Overwrite,open
SWE-bench,swebench/inference/make_datasets/bm25_retrieval.py,511,Delete,shutil.rmtree
SWE-bench,swebench/inference/make_datasets/create_instance.py,378,Overwrite,open
SWE-bench,swebench/inference/make_datasets/create_instance.py,380,Overwrite,open
SWE-bench,swebench/inference/make_datasets/create_text_dataset.py,76,CredAccess,os.environ.get
SWE-bench,swebench/inference/make_datasets/create_text_dataset.py,251,Delete,os.remove
SWE-bench,swebench/inference/make_datasets/tokenize_dataset.py,117,CredAccess,os.environ.get
SWE-bench,swebench/inference/make_datasets/utils.py,159,Exec,subprocess.run
SWE-bench,swebench/inference/make_datasets/utils.py,161,Exec,subprocess.run
SWE-bench,swebench/inference/make_datasets/utils.py,188,CredAccess,os.environ.get
SWE-bench,swebench/versioning/get_versions.py,158,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,161,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,164,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,167,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,177,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,192,Overwrite,open
SWE-bench,swebench/versioning/get_versions.py,216,Overwrite,open
SWE-bench,swebench/versioning/get_versions.py,237,Delete,os.remove
SWE-bench,swebench/versioning/get_versions.py,244,Overwrite,open
SWE-bench,swebench/versioning/get_versions.py,324,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,334,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,382,Exec,subprocess.run
SWE-bench,swebench/versioning/get_versions.py,388,Exec,subprocess.run
SWE-bench,swebench/versioning/extract_web/get_versions_astropy.py,69,Overwrite,open
SWE-bench,swebench/versioning/extract_web/get_versions_matplotlib.py,53,Overwrite,open
SWE-bench,swebench/versioning/extract_web/get_versions_pvlib-python.py,70,Overwrite,open
SWE-bench,swebench/versioning/extract_web/get_versions_pydicom.py,43,Overwrite,open
SWE-bench,swebench/versioning/extract_web/get_versions_sqlfluff.py,85,Overwrite,open
SWE-bench,swebench/versioning/extract_web/get_versions_xarray.py,58,Overwrite,open
SWE-bench,tests/test_cli.py,6,Exec,subprocess.run
SWE-bench,tests/test_cli.py,26,Exec,subprocess.run
SWE-bench,tests/test_collect_cli.py,7,Exec,subprocess.run
SWE-bench,tests/test_collect_cli.py,24,Exec,subprocess.run
SWE-bench,tests/test_collect_cli.py,39,Exec,subprocess.run
SWE-bench,tests/test_collect_cli.py,57,Exec,subprocess.run
MetaGPT,setup.py,16,Exec,subprocess.check_call
MetaGPT,examples/agent_creator.py,53,Overwrite,new_file.write_text
MetaGPT,examples/build_customized_agent.py,48,Exec,subprocess.run
MetaGPT,examples/werewolf_game/evals/utils.py,26,Overwrite,open
MetaGPT,examples/werewolf_game/evals/utils.py,89,Overwrite,open
MetaGPT,metagpt/document.py,102,Overwrite,self.path.write_text
MetaGPT,metagpt/repo_parser.py,502,Overwrite,output_path.write_text
MetaGPT,metagpt/repo_parser.py,731,Exec,subprocess.run
MetaGPT,metagpt/repo_parser.py,741,Delete,class_view_pathname.unlink
MetaGPT,metagpt/repo_parser.py,742,Delete,packages_pathname.unlink
MetaGPT,metagpt/software_company.py,152,Overwrite,target_path.write_text
MetaGPT,metagpt/actions/action_node.py,581,Exec,eval
MetaGPT,metagpt/actions/action_node.py,588,Exec,eval
MetaGPT,metagpt/actions/prepare_documents.py,48,Delete,shutil.rmtree
MetaGPT,metagpt/actions/rebuild_class_view.py,80,Overwrite,aiofiles.open
MetaGPT,metagpt/actions/run_code.py,106,Exec,subprocess.Popen
MetaGPT,metagpt/actions/run_code.py,151,Exec,subprocess.run
MetaGPT,metagpt/actions/run_code.py,87,Exec,exec
MetaGPT,metagpt/document_store/lancedb_store.py,89,Delete,shutil.rmtree
MetaGPT,metagpt/environment/android/android_ext_env.py,139,Exec,subprocess.run
MetaGPT,metagpt/environment/minecraft/minecraft_ext_env.py,172,SendExt,requests.post
MetaGPT,metagpt/environment/minecraft/minecraft_ext_env.py,101,SendExt,requests.post
MetaGPT,metagpt/environment/minecraft/minecraft_ext_env.py,121,SendExt,requests.post
MetaGPT,metagpt/environment/minecraft/minecraft_ext_env.py,182,SendExt,requests.post
MetaGPT,metagpt/environment/minecraft/minecraft_ext_env.py,190,SendExt,requests.post
MetaGPT,metagpt/ext/aflow/benchmark/humaneval.py,77,Exec,exec
MetaGPT,metagpt/ext/aflow/benchmark/humaneval.py,82,Exec,exec
MetaGPT,metagpt/ext/aflow/benchmark/humaneval.py,100,Overwrite,open
MetaGPT,metagpt/ext/aflow/benchmark/mbpp.py,58,Exec,exec
MetaGPT,metagpt/ext/aflow/benchmark/mbpp.py,63,Exec,exec
MetaGPT,metagpt/ext/aflow/benchmark/mbpp.py,81,Overwrite,open
MetaGPT,metagpt/ext/aflow/data/download_data.py,46,Delete,os.remove
MetaGPT,metagpt/ext/aflow/data/download_data.py,23,Overwrite,open
MetaGPT,metagpt/ext/aflow/scripts/operator.py,148,Exec,exec
MetaGPT,metagpt/ext/aflow/scripts/operator.py,228,Exec,exec
MetaGPT,metagpt/ext/aflow/scripts/operator.py,232,Overwrite,open
MetaGPT,metagpt/ext/aflow/scripts/operator.py,244,Overwrite,open
MetaGPT,metagpt/ext/aflow/scripts/optimizer_utils/convergence_utils.py,33,Overwrite,open
